# Sigma = 0.136486
       -1.1445488869        0.0000000000
       -1.0626570577        0.0000000000
       -0.9807652285        0.0000000000
       -0.8988733994        0.0000000000
       -0.8169815702        0.0000000000
       -0.7350897410        0.0000000000
       -0.6531979118        0.0000000000
       -0.5713060826        0.0000000001
       -0.4894142535        0.0000000020
       -0.4075224243        0.0000000416
       -0.3256305951        0.0000006008
       -0.2437387659        0.0000061380
       -0.1618469367        0.0000446317
       -0.0799551076        0.0002329439
        0.0019367216        0.0008861738
        0.0838285508        0.0025285841
        0.1657203800        0.0056914441
        0.2476122092        0.0108572504
        0.3295040383        0.0187274656
        0.4113958675        0.0298545727
        0.4932876967        0.0436779951
        0.5751795259        0.0587972409
        0.6570713551        0.0741020868
        0.7389631842        0.0890419076
        0.8208550134        0.1034111872
        0.9027468426        0.1170448089
        0.9846386718        0.1298495724
        1.0665305010        0.1423312466
        1.1484223301        0.1549077180
        1.2303141593        0.1672406802
        1.3122059885        0.1794011307
        1.3940978177        0.1918453727
        1.4759896469        0.2044013704
        1.5578814760        0.2168146222
        1.6397733052        0.2292728850
        1.7216651344        0.2420053019
        1.8035569636        0.2547566203
        1.8854487928        0.2674782963
        1.9673406219        0.2804790078
        2.0492324511        0.2933881831
        2.1311242803        0.3064846482
        2.2130161095        0.3200435151
        2.2949079387        0.3330906456
        2.3767997678        0.3464347980
        2.4586915970        0.3606679404
        2.5405834262        0.3741952850
        2.6224752554        0.3877210366
        2.7043670846        0.4024001992
        2.7862589137        0.4168045360
        2.8681507429        0.4307398672
        2.9500425721        0.4456199320
        3.0319344013        0.4609758555
        3.1138262305        0.4756883536
        3.1957180596        0.4908902714
        3.2776098888        0.5069863332
        3.3595017180        0.5227064260
        3.4413935472        0.5386595975
        3.5232853764        0.5553670367
        3.6051772055        0.5721452675
        3.6870690347        0.5892210380
        3.7689608639        0.6067647466
        3.8508526931        0.6246271683
        3.9327445223        0.6429756340
        4.0146363514        0.6618487183
        4.0965281806        0.6809445875
        4.1784200098        0.7006981751
        4.2603118390        0.7213718283
        4.3422036682        0.7420753585
        4.4240954974        0.7635753759
        4.5059873265        0.7864109462
        4.5878791557        0.8093606193
        4.6697709849        0.8331989200
        4.7516628141        0.8587166335
        4.8335546433        0.8847616627
        4.9154464724        0.9118892969
        4.9973383016        0.9410778138
        5.0792301308        0.9714258275
        5.1611219600        1.0034496657
        5.2430137892        1.0381034099
        5.3249056183        1.0749674790
        5.4067974475        1.1147754331
        5.4886892767        1.1585408385
        5.5705811059        1.2066814686
        5.6524729351        1.2607761325
        5.7343647642        1.3229310852
        5.8162565934        1.3965048702
        5.8981484226        1.4886404278
        5.9800402518        1.6113917667
        6.0619320810        1.7781872721
        6.1438239101        1.9811362934
        6.2257157393        2.1614101666
        6.3076075685        2.2294343757
        6.3894993977        2.1451299454
        6.4713912269        1.9612511473
        6.5532830560        1.7652924097
        6.6351748852        1.6057584057
        6.7170667144        1.4862740037
        6.7989585436        1.3936574417
        6.8808503728        1.3122839748
        6.9627422019        1.2220817804
        7.0446340311        1.0992443954
        7.1265258603        0.9378040757
        7.2084176895        0.7710773974
        7.2903095187        0.6524978393
        7.3722013478        0.6109929404
        7.4540931770        0.6380394470
        7.5359850062        0.7069978109
        7.6178768354        0.7817750680
        7.6997686646        0.8195996866
        7.7816604937        0.7954166014
        7.8635523229        0.7262840520
        7.9454441521        0.6729872980
        8.0273359813        0.7937145169
        8.1092278105        1.5376765276
        8.1911196396        3.6904691611
        8.2730114688        7.4842261114
        8.3549032980       11.1670275263
        8.4367951272       11.8435110347
        8.5186869564        8.8880090850
        8.6005787855        4.8076246181
        8.6824706147        2.0691965308
        8.7643624439        1.0257151283
        8.8462542731        0.8921090076
        8.9281461023        1.0397417742
        9.0100379314        1.2421152096
        9.0919297606        1.4759300035
        9.1738215898        1.7673280470
        9.2557134190        2.1131671016
        9.3376052482        2.4330516213
        9.4194970773        2.5946194524
        9.5013889065        2.5313908820
        9.5832807357        2.3148866957
        9.6651725649        2.0748051676
        9.7470643941        1.8865475326
        9.8289562233        1.7561696915
        9.9108480524        1.6644203714
        9.9927398816        1.5953002788
       10.0746317108        1.5401051313
       10.1565235400        1.4943160068
       10.2384153692        1.4553575108
       10.3203071983        1.4217956459
       10.4021990275        1.3937840263
       10.4840908567        1.3752634036
       10.5659826859        1.3765630127
       10.6478745151        1.4107027599
       10.7297663442        1.4793977758
       10.8116581734        1.5639666690
       10.8935500026        1.6389856167
       10.9754418318        1.6915195063
       11.0573336610        1.7162174300
       11.1392254901        1.6963867130
       11.2211173193        1.6103344118
       11.3030091485        1.4706173159
       11.3849009777        1.3348562099
       11.4667928069        1.2440650149
       11.5486846360        1.1770773864
       11.6305764652        1.1159962904
       11.7124682944        1.1693930735
       11.7943601236        1.6573269485
       11.8762519528        2.9710301247
       11.9581437819        4.9498371227
       12.0400356111        6.3994597162
       12.1219274403        6.0732108612
       12.2038192695        4.2354560340
       12.2857110987        2.3001273515
       12.3676029278        1.1619068716
       12.4494947570        0.7299565543
       12.5313865862        0.6137964071
       12.6132784154        0.5850610193
       12.6951702446        0.5728476006
       12.7770620737        0.5633988167
       12.8589539029        0.5548571107
       12.9408457321        0.5469542340
       13.0227375613        0.5395767891
       13.1046293905        0.5326311034
       13.1865212196        0.5260279137
       13.2684130488        0.5196680988
       13.3503048780        0.5133865428
       13.4321967072        0.5066583452
       13.5140885364        0.4974088064
       13.5959803655        0.4791293557
       13.6778721947        0.4385731805
       13.7597640239        0.3623017264
       13.8416558531        0.2543437555
